name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double,	   FALSE,		Add,		0,			 10000,				1000,				8,			
inteli7,	   Double,	   FALSE,		Add,		0,			 10000,				2000,				5,			
inteli7,	   Double,	   FALSE,		Add,		0,			 10000,				3000,				7,			
inteli7,	   Double,	   FALSE,		Add,		0,			 10000,				4000,				9,			
inteli7,	   Double,	   FALSE,		Add,		0,			 10000,				5000,				11,			
inteli7,	   Double,	   FALSE,		Add,		0,			 20000,				1000,				5,			
inteli7,	   Double,	   FALSE,		Add,		0,			 20000,				2000,				10,			
inteli7,	   Double,	   FALSE,		Add,		0,			 20000,				3000,				15,			
inteli7,	   Double,	   FALSE,		Add,		0,			 20000,				4000,				20,			
inteli7,	   Double,	   FALSE,		Add,		0,			 20000,				5000,				25,			
inteli7,	   Double,	   FALSE,		Add,		0,			 30000,				1000,				8,			
inteli7,	   Double,	   FALSE,		Add,		0,			 30000,				2000,				15,			
inteli7,	   Double,	   FALSE,		Add,		0,			 30000,				3000,				22,			
inteli7,	   Double,	   FALSE,		Add,		0,			 30000,				4000,				29,			
inteli7,	   Double,	   FALSE,		Add,		0,			 30000,				5000,				37,			
inteli7,	   Double,	   FALSE,		Add,		0,			 40000,				1000,				12,			
inteli7,	   Double,	   FALSE,		Add,		0,			 40000,				2000,				22,			
inteli7,	   Double,	   FALSE,		Add,		0,			 40000,				3000,				33,			
inteli7,	   Double,	   FALSE,		Add,		0,			 40000,				4000,				45,			
inteli7,	   Double,	   FALSE,		Add,		0,			 40000,				5000,				56,			
inteli7,	   Double,	   FALSE,		Add,		0,			 50000,				1000,				15,			
inteli7,	   Double,	   FALSE,		Add,		0,			 50000,				2000,				30,			
inteli7,	   Double,	   FALSE,		Add,		0,			 50000,				3000,				45,			
inteli7,	   Double,	   FALSE,		Add,		0,			 50000,				4000,				62,			
inteli7,	   Double,	   FALSE,		Add,		0,			 50000,				5000,				76,			

