name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 10000,				1000,				50,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 10000,				2000,				74,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 10000,				3000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 10000,				4000,				136,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 10000,				5000,				169,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 20000,				1000,				71,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 20000,				2000,				139,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 20000,				3000,				210,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 20000,				4000,				281,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 20000,				5000,				351,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 30000,				1000,				106,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 30000,				2000,				210,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 30000,				3000,				319,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 30000,				4000,				426,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 30000,				5000,				597,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 40000,				1000,				143,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 40000,				2000,				283,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 40000,				3000,				429,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 40000,				4000,				593,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 40000,				5000,				721,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 50000,				1000,				185,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 50000,				2000,				374,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 50000,				3000,				559,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 50000,				4000,				750,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		0,			 50000,				5000,				993,			

