name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 10000,				1000,				68,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 10000,				2000,				125,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 10000,				3000,				206,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 10000,				4000,				264,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 10000,				5000,				335,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 20000,				1000,				125,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 20000,				2000,				253,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 20000,				3000,				393,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 20000,				4000,				514,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 20000,				5000,				619,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 30000,				1000,				193,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 30000,				2000,				399,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 30000,				3000,				578,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 30000,				4000,				759,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 30000,				5000,				936,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 40000,				1000,				258,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 40000,				2000,				518,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 40000,				3000,				778,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 40000,				4000,				1014,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 40000,				5000,				1249,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 50000,				1000,				324,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 50000,				2000,				656,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 50000,				3000,				971,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 50000,				4000,				1301,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		1,			 50000,				5000,				1577,			

