name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 10000,				1000,				58,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 10000,				2000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 10000,				3000,				166,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 10000,				4000,				513,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 10000,				5000,				1068,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 20000,				1000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 20000,				2000,				217,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 20000,				3000,				351,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 20000,				4000,				1028,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 20000,				5000,				2067,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 30000,				1000,				164,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 30000,				2000,				329,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 30000,				3000,				527,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 30000,				4000,				1557,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 30000,				5000,				3102,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 40000,				1000,				217,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 40000,				2000,				438,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 40000,				3000,				658,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 40000,				4000,				2070,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 40000,				5000,				4164,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 50000,				1000,				281,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 50000,				2000,				558,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 50000,				3000,				844,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 50000,				4000,				2619,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		0,			 50000,				5000,				5224,			

