name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 10000,				1000,				58,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 10000,				2000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 10000,				3000,				164,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 10000,				4000,				215,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 10000,				5000,				274,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 20000,				1000,				129,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 20000,				2000,				220,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 20000,				3000,				385,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 20000,				4000,				433,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 20000,				5000,				539,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 30000,				1000,				163,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 30000,				2000,				323,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 30000,				3000,				492,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 30000,				4000,				659,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 30000,				5000,				822,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 40000,				1000,				220,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 40000,				2000,				433,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 40000,				3000,				654,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 40000,				4000,				882,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 40000,				5000,				1105,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 50000,				1000,				277,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 50000,				2000,				556,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 50000,				3000,				835,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 50000,				4000,				1118,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		1,			 50000,				5000,				1400,			

