name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double,	   FALSE,		Divide,		0,			 10000,				1000,				16,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 10000,				2000,				27,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 10000,				3000,				38,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 10000,				4000,				49,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 10000,				5000,				61,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 20000,				1000,				32,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 20000,				2000,				54,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 20000,				3000,				76,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 20000,				4000,				98,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 20000,				5000,				119,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 30000,				1000,				47,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 30000,				2000,				81,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 30000,				3000,				113,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 30000,				4000,				147,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 30000,				5000,				180,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 40000,				1000,				63,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 40000,				2000,				107,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 40000,				3000,				152,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 40000,				4000,				195,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 40000,				5000,				240,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 50000,				1000,				80,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 50000,				2000,				134,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 50000,				3000,				189,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 50000,				4000,				244,			
inteli7,	   Double,	   FALSE,		Divide,		0,			 50000,				5000,				299,			

