name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double,	   FALSE,		Multiply,		1,			 10000,				1000,				6,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 10000,				2000,				8,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 10000,				3000,				11,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 10000,				4000,				13,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 10000,				5000,				16,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 20000,				1000,				11,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 20000,				2000,				16,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 20000,				3000,				21,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 20000,				4000,				26,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 20000,				5000,				30,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 30000,				1000,				17,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 30000,				2000,				25,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 30000,				3000,				32,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 30000,				4000,				40,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 30000,				5000,				47,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 40000,				1000,				25,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 40000,				2000,				36,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 40000,				3000,				47,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 40000,				4000,				58,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 40000,				5000,				71,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 50000,				1000,				32,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 50000,				2000,				47,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 50000,				3000,				62,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 50000,				4000,				78,			
inteli7,	   Double,	   FALSE,		Multiply,		1,			 50000,				5000,				94,			

