name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double,	   FALSE,		Subtract,		1,			 10000,				1000,				2,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 10000,				2000,				5,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 10000,				3000,				7,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 10000,				4000,				10,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 10000,				5000,				12,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 20000,				1000,				5,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 20000,				2000,				9,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 20000,				3000,				14,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 20000,				4000,				19,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 20000,				5000,				24,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 30000,				1000,				7,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 30000,				2000,				14,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 30000,				3000,				22,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 30000,				4000,				29,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 30000,				5000,				36,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 40000,				1000,				11,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 40000,				2000,				23,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 40000,				3000,				34,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 40000,				4000,				45,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 40000,				5000,				57,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 50000,				1000,				15,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 50000,				2000,				30,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 50000,				3000,				47,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 50000,				4000,				61,			
inteli7,	   Double,	   FALSE,		Subtract,		1,			 50000,				5000,				75,			

