name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 10000,				1000,				31,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 10000,				2000,				59,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 10000,				3000,				111,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 10000,				4000,				124,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 10000,				5000,				149,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 20000,				1000,				59,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 20000,				2000,				119,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 20000,				3000,				180,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 20000,				4000,				243,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 20000,				5000,				304,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 30000,				1000,				89,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 30000,				2000,				184,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 30000,				3000,				275,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 30000,				4000,				366,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 30000,				5000,				477,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 40000,				1000,				122,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 40000,				2000,				245,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 40000,				3000,				369,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 40000,				4000,				504,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 40000,				5000,				621,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 50000,				1000,				152,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 50000,				2000,				304,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 50000,				3000,				488,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 50000,				4000,				629,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		1,			 50000,				5000,				770,			

