name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 10000,				1000,				51,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 10000,				2000,				106,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 10000,				3000,				158,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 10000,				4000,				204,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 10000,				5000,				256,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 20000,				1000,				102,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 20000,				2000,				208,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 20000,				3000,				307,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 20000,				4000,				410,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 20000,				5000,				516,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 30000,				1000,				155,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 30000,				2000,				308,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 30000,				3000,				462,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 30000,				4000,				623,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 30000,				5000,				778,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 40000,				1000,				208,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 40000,				2000,				435,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 40000,				3000,				622,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 40000,				4000,				849,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 40000,				5000,				1035,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 50000,				1000,				288,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 50000,				2000,				519,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 50000,				3000,				780,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 50000,				4000,				1040,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		0,			 50000,				5000,				1304,			

