name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 10000,				1000,				57,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 10000,				2000,				110,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 10000,				3000,				156,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 10000,				4000,				227,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 10000,				5000,				256,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 20000,				1000,				114,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 20000,				2000,				213,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 20000,				3000,				348,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 20000,				4000,				455,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 20000,				5000,				562,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 30000,				1000,				170,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 30000,				2000,				323,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 30000,				3000,				493,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 30000,				4000,				629,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 30000,				5000,				777,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 40000,				1000,				229,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 40000,				2000,				467,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 40000,				3000,				663,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 40000,				4000,				840,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 40000,				5000,				1061,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 50000,				1000,				314,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 50000,				2000,				539,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 50000,				3000,				817,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 50000,				4000,				1071,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		1,			 50000,				5000,				1311,			

