name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 10000,				1000,				49,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 10000,				2000,				101,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 10000,				3000,				148,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 10000,				4000,				193,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 10000,				5000,				265,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 20000,				1000,				97,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 20000,				2000,				196,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 20000,				3000,				292,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 20000,				4000,				390,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 20000,				5000,				491,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 30000,				1000,				151,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 30000,				2000,				293,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 30000,				3000,				443,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 30000,				4000,				591,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 30000,				5000,				738,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 40000,				1000,				197,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 40000,				2000,				394,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 40000,				3000,				593,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 40000,				4000,				809,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 40000,				5000,				1053,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 50000,				1000,				245,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 50000,				2000,				496,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 50000,				3000,				766,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 50000,				4000,				1023,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		0,			 50000,				5000,				1236,			

