name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float,	   FALSE,		Divide,		0,			 10000,				1000,				5,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 10000,				2000,				10,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 10000,				3000,				14,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 10000,				4000,				19,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 10000,				5000,				24,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 20000,				1000,				10,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 20000,				2000,				19,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 20000,				3000,				29,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 20000,				4000,				38,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 20000,				5000,				47,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 30000,				1000,				15,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 30000,				2000,				29,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 30000,				3000,				42,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 30000,				4000,				56,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 30000,				5000,				72,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 40000,				1000,				19,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 40000,				2000,				37,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 40000,				3000,				57,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 40000,				4000,				76,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 40000,				5000,				95,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 50000,				1000,				24,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 50000,				2000,				47,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 50000,				3000,				71,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 50000,				4000,				96,			
inteli7,	   Float,	   FALSE,		Divide,		0,			 50000,				5000,				119,			

