name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer,	   FALSE,		Add,		1,			 10000,				1000,				1,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 10000,				2000,				2,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 10000,				3000,				3,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 10000,				4000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 10000,				5000,				6,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 20000,				1000,				2,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 20000,				2000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 20000,				3000,				7,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 20000,				4000,				9,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 20000,				5000,				12,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 30000,				1000,				3,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 30000,				2000,				6,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 30000,				3000,				10,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 30000,				4000,				14,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 30000,				5000,				17,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 40000,				1000,				4,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 40000,				2000,				9,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 40000,				3000,				13,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 40000,				4000,				18,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 40000,				5000,				24,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 50000,				1000,				6,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 50000,				2000,				11,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 50000,				3000,				17,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 50000,				4000,				22,			
inteli7,	   Integer,	   FALSE,		Add,		1,			 50000,				5000,				28,			

