name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 10000,				1000,				51,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 10000,				2000,				82,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 10000,				3000,				126,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 10000,				4000,				155,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 10000,				5000,				163,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 20000,				1000,				117,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 20000,				2000,				123,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 20000,				3000,				183,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 20000,				4000,				244,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 20000,				5000,				316,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 30000,				1000,				103,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 30000,				2000,				188,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 30000,				3000,				278,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 30000,				4000,				379,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 30000,				5000,				491,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 40000,				1000,				123,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 40000,				2000,				251,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 40000,				3000,				389,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 40000,				4000,				505,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 40000,				5000,				678,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 50000,				1000,				157,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 50000,				2000,				318,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 50000,				3000,				491,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 50000,				4000,				652,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		0,			 50000,				5000,				792,			

