name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 10000,				1000,				63,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 10000,				2000,				124,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 10000,				3000,				187,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 10000,				4000,				249,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 10000,				5000,				311,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 20000,				1000,				125,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 20000,				2000,				250,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 20000,				3000,				373,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 20000,				4000,				499,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 20000,				5000,				623,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 30000,				1000,				186,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 30000,				2000,				374,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 30000,				3000,				560,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 30000,				4000,				746,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 30000,				5000,				936,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 40000,				1000,				248,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 40000,				2000,				498,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 40000,				3000,				745,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 40000,				4000,				995,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 40000,				5000,				1244,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 50000,				1000,				310,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 50000,				2000,				621,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 50000,				3000,				930,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 50000,				4000,				1242,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		0,			 50000,				5000,				1550,			

