name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 10000,				1000,				56,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 10000,				2000,				100,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 10000,				3000,				156,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 10000,				4000,				203,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 10000,				5000,				253,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 20000,				1000,				102,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 20000,				2000,				204,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 20000,				3000,				306,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 20000,				4000,				443,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 20000,				5000,				514,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 30000,				1000,				152,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 30000,				2000,				308,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 30000,				3000,				481,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 30000,				4000,				618,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 30000,				5000,				785,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 40000,				1000,				205,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 40000,				2000,				408,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 40000,				3000,				619,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 40000,				4000,				824,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 40000,				5000,				1045,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 50000,				1000,				257,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 50000,				2000,				511,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 50000,				3000,				793,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 50000,				4000,				1054,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		1,			 50000,				5000,				1308,			

