name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 10000,				1000,				50,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 10000,				2000,				123,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 10000,				3000,				152,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 10000,				4000,				208,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 10000,				5000,				257,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 20000,				1000,				103,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 20000,				2000,				204,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 20000,				3000,				306,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 20000,				4000,				409,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 20000,				5000,				511,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 30000,				1000,				155,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 30000,				2000,				308,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 30000,				3000,				464,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 30000,				4000,				615,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 30000,				5000,				817,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 40000,				1000,				207,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 40000,				2000,				410,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 40000,				3000,				617,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 40000,				4000,				827,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 40000,				5000,				1064,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 50000,				1000,				263,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 50000,				2000,				516,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 50000,				3000,				780,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 50000,				4000,				1084,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		1,			 50000,				5000,				1292,			

