name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer,	   FALSE,		Divide,		0,			 10000,				1000,				22,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 10000,				2000,				46,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 10000,				3000,				66,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 10000,				4000,				89,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 10000,				5000,				111,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 20000,				1000,				45,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 20000,				2000,				88,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 20000,				3000,				132,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 20000,				4000,				177,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 20000,				5000,				221,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 30000,				1000,				67,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 30000,				2000,				133,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 30000,				3000,				199,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 30000,				4000,				267,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 30000,				5000,				333,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 40000,				1000,				89,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 40000,				2000,				178,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 40000,				3000,				266,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 40000,				4000,				355,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 40000,				5000,				443,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 50000,				1000,				111,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 50000,				2000,				223,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 50000,				3000,				333,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 50000,				4000,				443,			
inteli7,	   Integer,	   FALSE,		Divide,		0,			 50000,				5000,				553,			

