name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Add,		0,			 10000,				1000,				8,			
inteli7,	   Long,	   FALSE,		Add,		0,			 10000,				2000,				5,			
inteli7,	   Long,	   FALSE,		Add,		0,			 10000,				3000,				7,			
inteli7,	   Long,	   FALSE,		Add,		0,			 10000,				4000,				9,			
inteli7,	   Long,	   FALSE,		Add,		0,			 10000,				5000,				12,			
inteli7,	   Long,	   FALSE,		Add,		0,			 20000,				1000,				5,			
inteli7,	   Long,	   FALSE,		Add,		0,			 20000,				2000,				9,			
inteli7,	   Long,	   FALSE,		Add,		0,			 20000,				3000,				13,			
inteli7,	   Long,	   FALSE,		Add,		0,			 20000,				4000,				18,			
inteli7,	   Long,	   FALSE,		Add,		0,			 20000,				5000,				23,			
inteli7,	   Long,	   FALSE,		Add,		0,			 30000,				1000,				7,			
inteli7,	   Long,	   FALSE,		Add,		0,			 30000,				2000,				14,			
inteli7,	   Long,	   FALSE,		Add,		0,			 30000,				3000,				21,			
inteli7,	   Long,	   FALSE,		Add,		0,			 30000,				4000,				28,			
inteli7,	   Long,	   FALSE,		Add,		0,			 30000,				5000,				34,			
inteli7,	   Long,	   FALSE,		Add,		0,			 40000,				1000,				10,			
inteli7,	   Long,	   FALSE,		Add,		0,			 40000,				2000,				21,			
inteli7,	   Long,	   FALSE,		Add,		0,			 40000,				3000,				32,			
inteli7,	   Long,	   FALSE,		Add,		0,			 40000,				4000,				43,			
inteli7,	   Long,	   FALSE,		Add,		0,			 40000,				5000,				53,			
inteli7,	   Long,	   FALSE,		Add,		0,			 50000,				1000,				15,			
inteli7,	   Long,	   FALSE,		Add,		0,			 50000,				2000,				29,			
inteli7,	   Long,	   FALSE,		Add,		0,			 50000,				3000,				44,			
inteli7,	   Long,	   FALSE,		Add,		0,			 50000,				4000,				57,			
inteli7,	   Long,	   FALSE,		Add,		0,			 50000,				5000,				75,			

