name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 10000,				1000,				94,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 10000,				2000,				173,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 10000,				3000,				239,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 10000,				4000,				316,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 10000,				5000,				395,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 20000,				1000,				160,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 20000,				2000,				317,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 20000,				3000,				475,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 20000,				4000,				638,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 20000,				5000,				794,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 30000,				1000,				239,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 30000,				2000,				479,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 30000,				3000,				721,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 30000,				4000,				963,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 30000,				5000,				1207,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 40000,				1000,				322,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 40000,				2000,				646,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 40000,				3000,				963,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 40000,				4000,				1284,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 40000,				5000,				1610,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 50000,				1000,				405,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 50000,				2000,				815,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 50000,				3000,				1244,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 50000,				4000,				1631,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		0,			 50000,				5000,				2037,			

