name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 10000,				1000,				142,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 10000,				2000,				284,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 10000,				3000,				424,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 10000,				4000,				566,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 10000,				5000,				708,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 20000,				1000,				283,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 20000,				2000,				566,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 20000,				3000,				855,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 20000,				4000,				1133,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 20000,				5000,				1418,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 30000,				1000,				426,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 30000,				2000,				849,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 30000,				3000,				1274,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 30000,				4000,				1797,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 30000,				5000,				2219,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 40000,				1000,				576,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 40000,				2000,				1137,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 40000,				3000,				1764,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 40000,				4000,				2288,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 40000,				5000,				2878,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 50000,				1000,				708,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 50000,				2000,				1420,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 50000,				3000,				2163,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 50000,				4000,				2846,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		1,			 50000,				5000,				3634,			

