name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 10000,				1000,				103,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 10000,				2000,				195,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 10000,				3000,				300,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 10000,				4000,				392,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 10000,				5000,				491,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 20000,				1000,				198,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 20000,				2000,				395,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 20000,				3000,				593,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 20000,				4000,				792,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 20000,				5000,				988,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 30000,				1000,				298,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 30000,				2000,				600,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 30000,				3000,				897,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 30000,				4000,				1202,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 30000,				5000,				1501,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 40000,				1000,				396,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 40000,				2000,				797,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 40000,				3000,				1193,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 40000,				4000,				1613,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 40000,				5000,				1994,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 50000,				1000,				501,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 50000,				2000,				1002,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 50000,				3000,				1507,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 50000,				4000,				2008,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		0,			 50000,				5000,				2512,			

