name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 10000,				1000,				94,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 10000,				2000,				193,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 10000,				3000,				286,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 10000,				4000,				377,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 10000,				5000,				472,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 20000,				1000,				191,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 20000,				2000,				381,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 20000,				3000,				572,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 20000,				4000,				766,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 20000,				5000,				956,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 30000,				1000,				290,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 30000,				2000,				595,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 30000,				3000,				871,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 30000,				4000,				1156,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 30000,				5000,				1444,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 40000,				1000,				384,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 40000,				2000,				769,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 40000,				3000,				1155,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 40000,				4000,				1544,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 40000,				5000,				1923,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 50000,				1000,				484,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 50000,				2000,				972,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 50000,				3000,				1462,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 50000,				4000,				1948,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		0,			 50000,				5000,				2443,			

