name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Divide,		0,			 10000,				1000,				88,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 10000,				2000,				175,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 10000,				3000,				261,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 10000,				4000,				351,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 10000,				5000,				437,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 20000,				1000,				174,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 20000,				2000,				349,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 20000,				3000,				524,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 20000,				4000,				699,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 20000,				5000,				870,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 30000,				1000,				262,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 30000,				2000,				524,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 30000,				3000,				784,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 30000,				4000,				1048,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 30000,				5000,				1309,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 40000,				1000,				350,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 40000,				2000,				697,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 40000,				3000,				1049,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 40000,				4000,				1396,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 40000,				5000,				1744,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 50000,				1000,				436,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 50000,				2000,				873,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 50000,				3000,				1308,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 50000,				4000,				1744,			
inteli7,	   Long,	   FALSE,		Divide,		0,			 50000,				5000,				2180,			

