name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Multiply,		0,			 10000,				1000,				3,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 10000,				2000,				7,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 10000,				3000,				12,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 10000,				4000,				17,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 10000,				5000,				21,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 20000,				1000,				7,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 20000,				2000,				15,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 20000,				3000,				24,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 20000,				4000,				30,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 20000,				5000,				38,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 30000,				1000,				11,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 30000,				2000,				22,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 30000,				3000,				34,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 30000,				4000,				45,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 30000,				5000,				57,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 40000,				1000,				17,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 40000,				2000,				34,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 40000,				3000,				52,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 40000,				4000,				69,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 40000,				5000,				87,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 50000,				1000,				22,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 50000,				2000,				45,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 50000,				3000,				67,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 50000,				4000,				89,			
inteli7,	   Long,	   FALSE,		Multiply,		0,			 50000,				5000,				112,			

