name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Subtract,		1,			 10000,				1000,				3,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 10000,				2000,				4,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 10000,				3000,				7,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 10000,				4000,				9,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 10000,				5000,				12,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 20000,				1000,				4,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 20000,				2000,				9,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 20000,				3000,				14,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 20000,				4000,				18,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 20000,				5000,				22,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 30000,				1000,				7,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 30000,				2000,				14,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 30000,				3000,				21,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 30000,				4000,				28,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 30000,				5000,				34,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 40000,				1000,				10,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 40000,				2000,				21,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 40000,				3000,				31,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 40000,				4000,				42,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 40000,				5000,				52,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 50000,				1000,				14,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 50000,				2000,				29,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 50000,				3000,				44,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 50000,				4000,				57,			
inteli7,	   Long,	   FALSE,		Subtract,		1,			 50000,				5000,				72,			

